رقم الصنف,الوصف,عدد الباركودات,الباركودات
30466,,3,8682304260902 | 8684068090726 | 8684068094823
30467,,3,8684083301159 | 8684083301203 | 8684083301173
30468,,2,8684083300381 | 8684083300299
30473,,1,8697288519946
30474,,4,8682368962576 | 8682368962590 | 8682368962583 | 8682368962118
30475,,1,6222000916356
30479,,2,6222000919012 | 6222000919005
30481,,1,6222035202936
30483,,2,6251934001364 | 6251934001357
30484,,1,6253809982204
30486,,1,6971211644519
30488,دروبس ملون بست وش زجاجة 60 جرام -,1,6971211644656
30491,,1,8990800022444
30493,,1,7622202282768
30496,,1,7622202286391
30498,,2,8684953384046 | 8684953384039
30499,,1,649396425167
30500,,1,649396423620
30505,,1,5907471430709
30507,,3,6224007772423 | 6224000605896 | 6224000605513
32000,ليدن اكسلانت انيرجي 14 جرام EXcellent,5,8026365724025 | 8026365724018 | 8026365724049 | 8026365721789 | 8026365724032
32002,ليدن اوربت ازرق 14 جرام - اصابع Orbit By,1,40099736
32003,ليدن اوربت 14 جرام - اصابع - باكو × 14,1,4009900474832
32004,ليدن اوربت 14 شريحة نعناع اخضر,2,42154662 | 42212119
32006,ليدن اوربت اصابع نعناع,1,40099606
32007,ليدن اوربت بالكيوي 5 قطعه,2,4009900487405 | 4009900013581
32009,ليدن اوربيت فراولة 14 جرام ORbit,17,50173464 | 42113270 | 42247371 | 50173204 | 50173822 | 46141538 | 42069942 | 50173976 | 42203100 | 50173617 | 42154631 | 46116482 | 42069829 | 42123880 | 50173471 | 50173099 | 40099996
32014,ليدن بريكس بطيخ 14.5 جرام - باكو × 20,1,8689900200202
32015,ليدن بريكس بطيخ 14.5 جرام Brix,2,8689900200103 | 8689900203104
32016,ليدن تشكلتس 120 قطعه,1,7622210471611
32018,ليدن ستيك 7 قطعه بنكهه النعناع,4,8681259500347 | 8681259500491 | 8681259500163 | 8681259500224
32019,ليدن ستيك 7 قطعه بنكهه النعناع كرتونة /24,4,8681259500354 | 8681259500507 | 8681259500170 | 8681259500231
32022,ليدن لايف بطيخ 40 جرام - علبة Life,6,8681015034642 | 8681015034581 | 8681015034604 | 8681015034628 | 8681015034666 | 8681015034680
32023,ليدن ليلو 16 جم - LIILOAI,1,6906911132202
32024,ليدن ليلو 16 جم - LIILOAI باكو × 24,1,6906911132219
32025,,6,6253502690208 | 6253502690116 | 6224000709136 | 6224000709228 | 6253502690130 | 6253502690123
32028,ليدن منتوس ازرق 22.5 جرام - 15 قطعة,2,80853701 | 80892502
32029,ليدن منتوس ازرق 60 جرام - 40 قطعة,13,8003440983379 | 8003440983362 | 80892564 | 8935001711575 | 80780588 | 80733300 | 80858850 | 80879725 | 80733294 | 80848233 | 80913467 | 80790990 | 80773429
32031,ليدن نحلة بطعم السوس المنعش,4,6253004400671 | 6253004400626 | 6253004400657 | 6253004400633
32032,ليدن نحلة مخدات 12 قطعة بطعم الفراولة,5,6253004400596 | 6253004400619 | 6253004400572 | 6253004400565 | 6253004400589
32033,ليدن نوفا نعناع حار 11.5 جرام - باكو × 20,5,796648172253 | 796648171256 | 796648175254 | 796648174257 | 796648173250
32034,ليدن نوفا تفاح اخضر 11.5 جرام Novo,6,796648175155 | 796648173151 | 796648174158 | 796648171157 | 796648172154 | 796648177159
32035,باكو ليدن اوربت  فراولة 30 قطعة Orbit,10,4009900023955 | 4009900015974 | 4009900397605 | 4009900021685 | 4009900453721 | 4009900417754 | 4009900367356 | 4009900359641 | 4009900008433 | 4009900482394
32036,ليدن مينت 115 جرام بكيت * 50 حبة,2,8994170103208 | 8994170103307
32037,ليدين اولكر اونيو 60 جرام - ONEO,2,8690840216345 | 8690840227754
32038,علكة مينتوس 99 جرام - MENTOS,1,80936473
32039,ليدن توربكلس 5 اصبع - TARBILEX  - ازرق,1,6985452612640
32040,ليدن توربكلس 5 اصبع - TARBILEX   باكو ×,1,6985452612657
32043,ليدن اكسلانت باكو×30اصبع×14 جرام,5,8026365721833 | 8026365721826 | 8026365721840 | 8026365721819 | 8026365721796
32044,علكة ليدن اكسترا بطعم الفراولة Extra,2,4009900534499 | 4009900534468
32046,دربس منتوس 20 جرام - Mentos,1,80811886
32047,ليدن نزار 14 جرام Nazar نكهة النعنع,2,8693323742126 | 8693323742133
32048,باكو * 20 ليدن نزار 14 جرام Nazar نكهة,2,8693323741228 | 8693323741235
32049,,1,80856399
32051,,3,80914006 | 80986270 | 80853985
32052,علكة ليدن بوس 15 جرام BOSS - نعناع بارد,4,8698644463491 | 8698644463484 | 8698644463682 | 8698644463514
32053,باكو * 20 علكة ليدن بوس 15 جرام BOSS -,4,8698644463699 | 8698644463736 | 8698644463729 | 8698644463705
32054,ليدن نكست 40 جرام Next بنكهة الفواكه,7,8681002381735 | 8681002381711 | 8681002382718 | 8681002381742 | 8681002381766 | 8681002382664 | 8681002381759
32055,,10,8681002384989 | 8681002382640 | 8681002381629 | 8681002381667 | 8681002381674 | 8681002381643 | 8681002384972 | 8681002381650 | 8681002381636 | 8681002381681
32056,ليدن اوربت اكس اكس ال 20.4 جرام XXL,4,46146625 | 46153708 | 46153715 | 46196613
32057,,4,4009900501620 | 4009900496193 | 4009900501644 | 4009900518536
32058,ليدن اوربت 64 جرام Orbit - نعنع,5,4009900412117 | 4009900412087 | 4009900402965 | 4009900420198 | 4009900531122
32059,,1,4009900363488
32062,,6,8000500227268 | 8000500234402 | 8000500223512 | 8000500366776 | 8000500416198 | 8000500366769
32064,دربس منتوس 60 جرام - 30 قطعة Mentos -,2,80945444 | 80953074
32065,,3,87108538 | 7290002752349 | 87366440
32066,,1,7290006353207
32068,ليدن اكسل جمرز حامض 25 جرام Excel,1,9771320000292
32069,ليدن اكسل كريزي 25 جرام - باكو × 24,0,
32071,ليدن اوربت 19.8 جرام -علبة orbit,3,8902433030482 | 8902433030260 | 8902433030253
32072,,3,8935001714910 | 8935001714934 | 8935001716235
32074,ليدن اوربت 67 جرام بالبطيخ,1,4009900552165
32076,,2,4009900362573 | 4009900358934
32080,ليدن شعراوي مخدات بنكهة المستكة -,3,6253000360603 | 6253000360689 | 6253000360665
32501,,2,10036 | 2000102202164
32503,,1,10035
32504,جيلي مقطع ملون,7,9990314 | 20011 | 10040 | 10029 | 9990348 | 10030 | 10031
32505,بودرة بودينج كنتون كاكاو 100 جرام Kenton,9,8690547100046 | 8690547100015 | 8690547100022 | 8690547182028 | 8690547010543 | 8690547100084 | 8690547182035 | 8690547160088 | 8690547100039
32506,بودرة كيك كنتون فانيلا وشوكولاتة 500 جرام,4,8690547191211 | 8690547191242 | 8690547191235 | 8690547191228
32507,خلطة كيك كنتون 450 جرام Kenton,4,8690547187054 | 8690547187047 | 8690547187078 | 8690547187061
32509,فانيلا باودر الشيخ قاسم 110 جم,1,6253503473107
32513,جلي دريم فراولة 70 جرام Dreem,7,6223001085010 | 6223001089148 | 6223001089070 | 6223001085027 | 6223001089155 | 6223003941598 | 6223001085034
32514,جلي كنتون مانجا 80 جرام Kenton,13,8690547183513 | 8690547021471 | 8690547183520 | 8690547021402 | 8690547021495 | 8690547021488 | 8690547192089 | 8690547183537 | 8690547192072 | 8690547183506 | 8690547021419 | 8690547192065 | 8690547021426
32516,شوكولاتة ايديكا بلوك بالشوكولاتة  للكيك 200 جم,2,4311501634981 | 4311501634950
32517,بودرة كيك كنتون كب كيك 350 جرام Kenton,2,8690547189522 | 8690547189973
32522,فانيلا كنتون 75 جرام - باكو × 15,2,8690547019959 | 8690547090088
32524,كاستر كنتون فراولة 100 جرام Kenton,2,8690547188259 | 8690547188273
32525,,1,10042
32526,,2,20011 | 10041
32528,كريمة شانتي كنتون فراولة 75 جرام Kenton,3,8690547130036 | 8690547101104 | 8690547130012
32529,كريم كراميل دريم 70 جرام Dreem,1,6223003941598
32537,كاسترد دريم 70 جرم Castard,1,6223001085171
32544,توفي توركو 600 جرام Torku Tofuy,1,8690120108995
32545,فانيلا + بكمباودر الهنا ابو العوف,5,65454244 | 65454237 | 9780592161556 | 9787121122323 | 8782421122753
32546,مسحوق ايس كريم دريم 80 جم بالفراولة,4,6223001085935 | 6223001085942 | 6223001085911 | 6223001085928
32548,مهلبية امازون 85 جرام Amazon,1,6290050105150
32552,كريمة شانتي كنتون كاكاو 150 جرام,3,8690547101210 | 8690547101203 | 8690547101227
32555,فانيلا كنتون 5 جرام Kenton,0,
32556,فانيلا كنتون بكيت Kenton,2,8690547030022 | 8690547040021
32557,الوان طعام سائل حنونة ليمون 30 جرام,8,2005965446618 | 2005965442443 | 2190004325570 | 2005968442563 | 2005968442549 | 2005965446212 | 2190010325571 | 2190012325579
32560,جلي حنونة فراولة 70 جرام Hanouna,2,5694588712568 | 5694588712599
32563,توفي شوكولاتة حنونة 350 جرام,2,3679531 | 2000283346527
32569,عجينة السكر فزيون زهر 500 جرام Fizyon,4,8681678000954 | 8681678000893 | 8681678000855 | 7290011249649
32598,براونيز دريم  400 جم  DREEM,3,6223003942595 | 6223003943165 | 6223003942564
32599,خليط مافن  دريم 450 جم DREEM,2,6223003943172 | 6223003943189
32600,خلطة كيك دريم 400 جم فانيلا,4,6223001089186 | 6223001089209 | 6223003941444 | 6223001089193
32607,شوكلاتة خام دريم 200 جم Milk,3,6223003943578 | 6223003943158 | 6223003942946
32608,فانيلا سائلة القدس 100 مل,1,2142424122871
32610,بلوبري بلبل 200 جرام / BOLBOL,1,567120000025
32611,سكاكر ميزرا لتزين الكيك 100 جرام,0,
32612,جلي كنت 85 جم كرز,1,8694587102770
32613,كرز مجفف القدس 100 جرام بلبل,1,567120000049
32630,شعر كنافة أحمر ابو عطية 400 جرام,2,2021010613187 | 2020072017056
32643,بكينج باودر الشنار   9 جرام,1,6254000083042
32644,جلي جوي كاندي ميكس 200 جرام - CANDY,2,8719992179886 | 8719992179763
32650,طحين كيك كر يب 1 كيلو / KREATIVE,6,7290102848027 | 7290010402120 | 7290006633354 | 7290006633781 | 7290102846948 | 7290102842094
32655,جلي ماكس نوفا 20 جرام  كولا,6,8693323157111 | 8693323157128 | 8693323157104 | 8693323157135 | 8693323157159 | 8693323157142
32658,صبغة سائل ماندلبيرغ 32 مل -,15,7290016891102 | 7290016891089 | 7290016891003 | 7290016973464 | 7290016891072 | 7290016891034 | 7290016891188 | 6212674004510 | 7290016891911 | 7290016891126 | 6212674004503 | 7290016891041 | 7290016891164 | 7290016891249 | 7290016891218
32661,,1,2001110744004
32663,جلي سيمو كوماس 1 كيلو - SIMO COMAS,4,7897652605904 | 7897652605898 | 7897652605935 | 7897652605911
32666,فانيلا بكمايا 5 جرام 5 بكيت × 1 شيكل -,1,8690770325599
32667,بكينج باودر بكمايا 5 جرام - باكو ×36 حبة,1,8690770325605
32673,اقراص ستيفيا تروبيكانا سلم 5 جرام,1,749921004659
32696,جلي فوستر كلاركس بطعم الكرز 340 جم,2,5352101027031 | 5352101028861
32699,بخاخ زيت نباتي الكسيح,1,6253001075353
32706,روح الطعام أزرق فوستر سائلة 28 مل /,4,5352101196515 | 5352101732331 | 5352101414022 | 5352101557224
32713,توفي فرولة اوريجنال -250 جم ORIGINAL,8,2004222203148 | 2004222203131 | 2004222203162 | 2004222203193 | 2004222203179 | 2004222203117 | 2004222203124 | 2004222203186
32714,مسحوق ايس كريم كينتون 80 جم KENTON -,5,8690547192744 | 8690547192737 | 8690547192768 | 8690547192775 | 8690547192751
32731,جلي بونارت 80 جرام Bonart - فواكه,3,8690997090485 | 8690997090461 | 8690997090478
32732,باكو * 12 جلي بونارت 80 جرام Bonart -,3,8690997190482 | 8690997190468 | 8690997190475
32733,كريمة دول سيلا 42 جرام dolcela,2,3850104216947 | 3850104216763
32734,بيتزا جاهزة اسرائيلية 380 جرام,2,7290108503692 | 7290108503708
32742,فانيلا سكر 8   جرام,4,7290006376688 | 7290006376695 | 6254000083653 | 7296073362951
32747,,2,6222014504983 | 6223003447601
32763,,1,6253503473664
32764,باكينج باودر الشيخ قاسم 10 جرام,2,6253503473138 | 6253503473121
32766,فانيلا الشنار 100 جرام  - علبة,2,6254000083585 | 6254000083592
32774,,1,6253002402608
32791,,1,200960784778
32792,,1,7290018517345
33001,زنجبيل لزيزة بالعسل 20 فتلة Lazeza,1,6253503961901
33002,زهورات ابو حميد 250 جرام,1,1356234567536
33003,شاي ابو حميد 1 شيكل 10 فتلة,1,5441225111457
33004,شاي ابو حميد 110 فتلة + هدية,1,5441235223331
33005,شاي ابو حميد نفل 250 جرام,1,2005944446615
33006,شاي احمد احمر الفطور الانجليزي 100 كيس,3,54881006002 | 54881005951 | 54881005982
33008,شاي احمد اخضر 100 كيس + 50 فتلة هدية,2,54881004787 | 54881004770
33009,يانسون الكسيح 20 كيس,1,6253001070006
33011,,1,4792177002012
33021,شاي النمر 100 فتلة,1,4791006007310
33023,,1,210002
33026,شاي انور علي 100 فتلة,2,4791082041291 | 4791082042472
33027,شاي اوبا 210 كيس OBA,1,4798810016675
33029,شاي بيراك 100 فتلة +ماج Berrak,1,4798810017481
33030,شاي بيراك 100 فتلة Berrak,1,4798810012189
33031,شاي بيراك 20 فتلة Berrak,1,4798810019379
33033,شاي بيونير 100 فتلة + هدية,1,4995555414449
33037,شاي بيونير نفل 200 جرام,1,4555565661082
33038,شاي جنان 100 فتلة Jenan,2,4791012019970 | 4798810017214
33039,شاي الربيع اخضر طبيعي   100كيس نعناع,3,6281013247000 | 6281013243002 | 6281013247086
33041,شاي ربيع ايرلي جري 20 فتلة,1,6281013112087
33042,,1,6281013112148
33049,شاي ليبتون اخضر 100 فتلة,1,6281006863965
33054,,1,8720608632671
33056,شاي ليون 10 فتلة,1,4522114001019
33057,شاي ليون 100 فتلة,2,4955585558117 | 4555585559994
33058,شاي ليون 20 فتلة,1,4588778777714
33059,شاي مونتي 75 فتلة 112.5 جرام,1,4791012019437
33061,شاي يونجا 100 فتلة - اسود,2,4791075006627 | 4796030380071
33063,شاي يونجا نفل 250 جرام - كيس,1,4791075006610
33064,شاي يونجا نفل 250 جرام - مرطبان,1,4791075006641
33066,مشروب اعشاب رويال ينسون 20 فتلة Royal,2,6040391212365 | 6040391215472
33070,مشروب بذور الريحان مانجا 290 مل,11,8858768092483 | 8858768029069 | 8858768092469 | 8858768092445 | 8858768093152 | 8858768055952 | 8858768029045 | 8858768093145 | 8858768093374 | 8858768016892 | 8935048622056
33071,مشروب زنجبيل الشيخ قاسم بالعسل 20 فتلة,4,6253503476665 | 6253503476672 | 6253503476689 | 6253503476696
33072,مشروب زنجبيل بالعسل الشيخ قاسم 9 جرام,4,6253503476740 | 6253503476757 | 6253503476764 | 6253503476771
33077,,1,8720608014958
33081,مشروب اعشاب طيبة يانسون 25 فتلة,6,6253501437026 | 6253501437095 | 6253501437019 | 6253501437149 | 6253501437224 | 6253501437101
33083,شاي ليبتون اخضر 100 فتلة,2,6221155114044 | 6221155112408
33085,شاي احمد اسود 60 فتلة - 120 جرام,1,54881001052
33086,شاي احمد قرفة  20 فتلة AHMED,15,54881006958 | 54881008945 | 54881007009 | 54881003988 | 54881006163 | 54881007108 | 54881000062 | 54881009539 | 54881006941 | 54881017862 | 54881008471 | 54881000192 | 54881006989 | 54881006996 | 54881009522
33087,اعشاب وفواكه احمد فراولة  20 فتلة AHMED,12,54881000116 | 54881000024 | 54881000208 | 54881000109 | 54881000031 | 54881013666 | 54881018296 | 54881015080 | 54881015073 | 54881016001 | 54881000017 | 54881000048
33088,شامي بكيت 20 ظرف - نعناع,2,6212900006264 | 6212900006332
33089,شاي احمد خوخ  20 فتلة BEAUTY,4,54881020398 | 54881020350 | 54881020381 | 54881020367
33090,اعشاب الشيخ قاسم شاي 20 بكيت,7,6253503474401 | 6253503474388 | 6253503474418 | 6253503474395 | 6253503474371 | 6253503474432 | 6253503474425
33091,أعشاب العطار باكو زنجبيل و عسل,3,6212900009739 | 6212900002082 | 6212900002198
33094,شاي اعشاب بابونج  20 فتلة GREEN,4,8680913441521 | 8680913442610 | 8680913441064 | 8680913441590
33098,اعشاب ليبتون كركديه 20 فتلة,2,6281006868465 | 6281006868489
33110,شيبس ستيكس 40 جرام - POTATO STIX,1,6224001084850
33112,شاي اخضر ليبتون (25 كيس),1,6221155049681
33114,مشروب زنجبيل جرين ايلاند 20 فتلة GREEN,2,8691262712569 | 8691262703659
33117,شيبسي ستيكس 55 جرام Sticks Chips شطة,2,6253350001447 | 6253350001430
33120,شاي اخضر - الوادي الاخضر 12 فتلة,2,6224008488019 | 6224011214124
33125,شاي تتلي نفل  400 جم tetley - مركز,2,5014328097111 | 5014328012671
33126,شاي تتلي نفل  200 جم tetley - جولد,2,5014328057276 | 5014328030453
33127,,1,5014328051625
33128,,1,5014328034093
33129,شاي  تتلي 100 فتلة  tetley - جولد,2,5014328072989 | 5014328057085
33130,,1,54881005906
33131,شاي ليبتون 20 فتلة Lipton- نعنع,5,8718114889467 | 8710908912276 | 7310390855122 | 8712100784620 | 8714100082034
33135,,2,6223000497333 | 6223000497371
33141,شاي نفل مستير 40 جرام,5,6225000119505 | 6224008043461 | 6223002010233 | 6224010287105 | 6226556900500
33148,مشروب فوري 300 جرام  4U  - عنب,5,7290020010322 | 7290019298410 | 7290019298366 | 7290019298465 | 7290020010377
33151,كركديه ايسس 20 كيس ISIS,3,6223000470121 | 6223000475119 | 6223000470138
33154,,3,6223005599810 | 6225000690271 | 6223005599834
33155,,5,6221987212307 | 6224100236112 | 6224100236242 | 6221001982315 | 6224100236167
33163,,1,54881004732
33167,,1,2106000331675
33168,,4,54881013512 | 54881013529 | 54881013475 | 54881013468
33169,,6,8936177704040 | 8936177704019 | 8936225847224 | 8936177704026 | 8936177703999 | 8936177704033
34002,شاي كرك بالحبهان بريك اصابع - باكو × 8 اصبع,2,6223000274507 | 6223000274651
34003,شاي كرك بالحبهان بريك اصابع 25 جرام,2,6223000274514 | 6223000274668
34004,شاي لاتي كروجر بالقرفة - باكو × 10 اصبع,1,4052700083421
34012,قهوة اسبرسو كينك 2.5 جرام - The King,1,8935259050006
34013,قهوة اسبرسو كينك 37.5 جرام - باكو × 15,2,8935259090200 | 8935259080478
34015,قهوة محبوبة اسبرسو 2 جرام,3,8699415419242 | 8699415419174 | 8699415419204
34016,قهوة محبوبة اسبرسو 2 جرام - باكو × 20,3,8699415419259 | 8699415419181 | 8699415419211
34020,نسكافيه ماتنيل 230 جرام - MATINAL,1,7891000315606
34025,كابتشينو جود داي موكاتو 20 جرام,4,8991002103832 | 8991002103238 | 8991002103931 | 8991002103535
34027,,2,8991002103085 | 8991002133822
34028,كابتشينو جود داي ازرق 600 جرام - كيس × 30,4,8991002103948 | 8991002103849 | 8991002103245 | 8991002103542
34030,كابتشينو سانتوس 25 جرام Santos,1,8991002113503
34040,كابتشينو كوفي بريك فانيلا - باكو × 10 اصابع,3,6223000273333 | 6223000274330 | 6223000272640
34044,كابتشينو محبوبة 25 جرام,1,8699415417637
34045,كابتشينو محبوبة 25 جرام - باكو × 20,2,8699415417644 | 8699415417613
34048,كابتشينو موكاتي جولد كاكاو 8 كيس,3,5900649065420 | 5900649060043 | 5900649070301
34058,نسكافيه جولد 190 جرام Gold,1,4600680000640
34062,نسكافية دافيدوف 100 جم فاين أروما,1,4006067084263
34066,نسكافية عليت 240 جرام,0,
34067,نسكافية عليت 50 جرام,1,7290000176413
34068,نسكافية عليت اروما 200 جرام,1,7290005201455
34072,نسكافية عليت بلاتينيوم +مق,1,7290101552789
34073,نسكافية عليت فانيلا   200 جرام,2,7290102032334 | 7290104065187
34079,,1,46226686
34081,,1,6228000273159
34088,نسكافيه محبوبة 18 جرام - اصبع,1,8699415416203
34089,نسكافيه محبوبة اصابع 432 جرام - باكو × 24,1,8699415416241
34094,,1,7891000304808
34099,نسكافيه نسلة اورجينال 18 جرام - اصبع,1,6221007000013
34100,نسكافيه نسلة اورجينال 230 جرام Extra Forte,2,7891000260388 | 7891000300602
34101,نسكافيه نسلة اورجينال 230 جرام Tradicao,1,7891000257135
34102,نسكافيه نسلة اورجينال اصابع 18 جرام - باكو ×,1,6221007007050
34103,نسكافية نسلة رد ماج 200 جرام Red Mug وليد,2,7290000061764 | 7616100581580
34104,نسكافيه نسلة كلاسيك 100 جرام,2,7891000085349 | 7891000361290
34105,نسكافيه نسلة كلاسيك 200 جرام,1,7891000085387
34106,نسكافيه نسلة كلاسيك 50 جرام,2,7891000085363 | 7891000361252
34108,نسكافيه نسلة كلاسيك اصابع 20 جرام - باكو ×,1,6294003562083
34110,هوت شوكلت محبوبة 1 كيلو,1,8699415418450
34111,هوت شوكلت محبوبة 20 جرام,1,8699415417903
34112,هوت شوكلت محبوبة 20 جرام - باكو × 12,1,8699415417910
34118,شوكو 750غم / اسرائيلي INSTANT,3,6254000083189 | 6254000083110 | 6254000085022
34120,نسكافيه عليت هوت@تاستي 100غم بالقرفة /,4,7290112348609 | 7290112348616 | 7290112359384 | 7290112347299
34123,موكا -كافليكس  24 قطعة cafelux,2,8683071800803 | 8697432200812
34124,موكا كافليكس 18 جرام,3,8697432200287 | 8697432200294 | 8683071800285
34125,,3,8991998010015 | 8991998010114 | 8991998010213
34126,,3,8991998015829 | 8991998015720 | 8991998015928
34135,نسكافيه جاكوبوز جولد 190غم / JACOBOS,3,4607001779650 | 4607001779698 | 8711000567135
34141,نسكافيه نستلة تستر صغير - Tasters,1,7290000072760
34145,نسكافيه سيداب 3 في 1 20 جرام - NEO,3,8998866201971 | 8998866201995 | 8998866202015
34146,نسكافيه سيداب 3 في 1 20 جرام - NEO   باكو,3,8998866201988 | 8998866202022 | 8998866202008
34156,قهوة مبيضة 18 جرام - TALEEN CAFE,10,6254000409613 | 6254000409668 | 6254000409606 | 6254000409651 | 6254000409576 | 6254000409675 | 6254000409637 | 6254000409729 | 6254000409569 | 6254000409620
34157,شاي كرك بالزعفران - TALEEN CAFE,12,6254000409873 | 6254000409781 | 6254000409972 | 6254000409866 | 6254000409859 | 6254000409804 | 6254000409835 | 6254000409811 | 6254000409927 | 6254000409828 | 6254000409910 | 6254000409774
34161,نسكافيه كلاسيك دونياسي 3×1 /18 جرام,7,8697447043527 | 8697447043619 | 8697447043961 | 8697447043503 | 8697447042063 | 8697447043954 | 8697447040854
34162,نسكافيه كلاسيك دونياسي 3×1 /18 جرام,6,8697447043534 | 8697447042308 | 8697447043992 | 8697447043510 | 8697447042087 | 8697447043985
34163,نسكافيه جاكوب 3*1   11.7 غم / JACOBS,3,8690515511324 | 8690515525123 | 8711000557044
34164,,1,8711000705384
34167,نسكافيه تيوربو 13 جرام 3 × 1 - TURBO,4,7613036116107 | 7613036115780 | 7613036116138 | 7613036116077
34168,نسكافيه تيوربو 13 جرام 3 × 1 - TURBO,4,7613036116114 | 7613036115797 | 7613036116145 | 7613036116084
34169,كبسولة كابتشينو ستاربكس باكو 12 كبسولة /,6,7613036927017 | 7613036927574 | 7613036927598 | 7613036927031 | 7613036927550 | 7613036927611
34170,كبسولة كورتادو دولس جوستو باكو,4,7613032396350 | 7613035690639 | 7613037882636 | 7613037505641
34173,كابتشينو الشنار 500 جرام - CAPPUCCINO,1,6254000083691
34174,قهوة رونا خليجية 250 جرام - RONA,1,2009808586103
34188,نسكافيه جولد 14 جرام - NESCCAFE,5,6294003591342 | 6294003591311 | 6294003591199 | 6294003591250 | 6294003591281
34189,نسكافيه جولد 14 جرام - NESCCAFE,4,6294003591298 | 6294003591205 | 6294003591267 | 6294003591328
34193,,1,8683071801503
34194,نسكافيه جولد 18.5 جرام - NEW,6,6221007030553 | 6221007026556 | 6221007026464 | 6221007026525 | 6221007030584 | 6294017102961
34195,نسكافيه جولد 18.5 جرام- NEW,5,6221007026488 | 6221007026570 | 6221007026549 | 6221007030577 | 6294017102978
34198,كاسات بريمو كافيه 25 جرام - كابتشينو,6,6253503820123 | 6253503820154 | 6253503820222 | 6253503820185 | 6253503820703 | 6253503820680
34203,,1,8697456425468
34204,,1,8697456425482
34207,شوكو كاسات هانز Hans,4,8681725049196 | 8681725049011 | 8681725049097 | 8681725049134
34208,مشروب ساخن كاسات هانز Hans ربطة×6,4,8681725049028 | 8681725049103 | 8681725049585 | 8681725049141
34215,باكو مشروب ستاربكس 5 كيس,2,7613038558448 | 7613038558356
34218,نسكافيه كافليكس (3*1)20 كيس CAFELUX,5,8697432200843 | 8697432200607 | 8697432201017 | 8697432200836 | 8683071800018
34219,نسكافيه كافليكس (3*1)18 جم CAFELUX -,4,8697432200553 | 8697432200898 | 8683071800865 | 8697432201000
34223,كابتشينو توب 25 جرام باكو * 22 TOP,1,8998866630863
34224,كابتشينو الي كافيه 25 جم ALICAFE,1,9555021510997
34225,باكو كابتشينو الي كافيه 25جم*20 كيس,1,9555021511000
34227,نسكافيه الاديب 10 جرام 2*1 دايت ALADEEB,8,8681072009690 | 8681072009324 | 8681072009706 | 8681072009713 | 8681072009645 | 8681072009652 | 8681072009683 | 8681072009669
34228,باكو *48 نسكافيه الاديب 10 جرام دايت,8,8681072009805 | 8681072009393 | 8681072009812 | 8681072009829 | 8681072009751 | 8681072009768 | 8681072009799 | 8681072009775
34229,,1,6221007041832
34236,نسكافيه بريمو كافيه 20 جرام 3 * 1,2,6253503820284 | 6253503821175
34237,باكو * 24 نسكافيه بريمو كافيه 20 جرام 3 * 1,2,6253503820369 | 6253503821182
34245,,1,8991002133549
34246,,1,8681072009720
34253,,1,8681072009003
34263,نسكافيه نسلة كلاسيك 190جرام,1,6221007041818
34271,,3,6221007028062 | 6221007028093 | 6221007011927
34272,,3,6221007028086 | 6221007031079 | 6221007028116
34275,,1,4002720006696
34276,كابتشينو يوني كافيه 20 جرام uni cafe-- بندوق,1,6224011376259
34277,كابتشينو يوني كافيه 20 جرام uni cafe- بندوق,1,6224011376334
34278,كابتشينو يوني كافيه 12 جرام uni cafe -,1,6224011376662
34279,,1,6224011376679
34289,,1,6221007030676
34314,نسكافية كريمي 3*1 باكو/12,1,6221007030669
34318,نسكافيه كروان جولد 100 جرام Crown,2,8684201390782 | 8684201390805
36003,كفي ميت نسلة لايت 450 جرام,1,8850124080202
36004,كوفي ميت نسلة 1 كيلو - كيس,1,8850124074553
36005,كوفي ميت نسلة 400 جرام - الاصلي,2,8850127063424 | 8850124020000
36006,كوفي ميت نسلة 400 جرام - عادي,1,8850124011053
36007,مبيض قهوة محبوبة 4.2 جرام,1,8699415419228
36008,مبيض قهوة محبوبة 4.2 جرام - باكو × 105,1,8699415419235
36016,مبيش كفي ميت فانيلا 425.2 جم COFFE,3,50000207084 | 50000602360 | 50000045952
37001,,1,7290002366652
37003,شوكو بارليكو اصابع 30 جرام - باكو × 8,1,6223000274224
37004,شوكو بارليكو اصابع 30 جرام Barlico,1,6223000274231
37006,شوكو عليت 400 جرام باكو,0,
37007,شوكو عليت 500 جرام علبة,0,
37008,شوكو عليت 850 جرام باكو,0,
37010,كاكاو الكسيح 125 جم,1,6253001065675
37012,كاكاو بدري وهنية 45 جرام,1,6253503972877
37013,كاكاو بودره جلاكسي ابو حميد,1,2005994445590
37020,,2,1324657985688 | 6251972000718
37037,كاكاو مر 100 جرام,1,96165393
37041,,2,2000599166208 | 2009879970115
37043,,1,8772188215683
37049,,1,6294013088948
37062,,2,7290110577254 | 7290107954976
37069,,1,7290020348326
37070,,2,6223000031889 | 6223000031926
38001,قهوة ابو سكندر 1 كيلو,1,2002004807485
38002,قهوة ابو سكندر 250 جرام,1,2002004805894
38003,قهوة ابو سكندر مطاعم 250 جرام,1,2001001002503
38007,,1,7290001648155
38008,,1,7290001648995
38015,,2,6253503973478 | 2106000270745
38016,قهوة اكسترا بدري وهنية 200 جرام,0,
38024,قهوة السحر نصف محروق  100 جرام,2,2002991111213 | 2009891076109
38025,قهوة السحر 20 جرام -1 شيكل,2,2005955887650 | 2021012221328
38026,قهوة الربيع 20 جرام -1 شيكل - باكو × 24,1,2021021519362
